log start...
09:42:17.949..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:18.466..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:18.982..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:19.499..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:20.015..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:20.531..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:21.046..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:21.560..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:22.104..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:22.619..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:23.141..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:23.657..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:24.174..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:24.691..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:25.212..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:25.727..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:26.244..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:26.762..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:27.279..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:27.795..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:28.312..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:28.827..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:29.343..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:29.859..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:30.375..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:30.891..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:31.407..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:31.923..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:32.436..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:32.953..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:33.467..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:33.985..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:34.502..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:35.021..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:35.537..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:36.051..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:36.569..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:37.087..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:37.606..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:38.132..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:38.653..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:39.167..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:39.676..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:40.193..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:40.712..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:41.224..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:41.741..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:42.259..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:42.773..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:43.290..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:43.806..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:44.323..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:44.840..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:45.355..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:45.872..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:46.385..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:46.903..[local]..get hq running..cli_thread_getlastPrice-1111
09:42:47.418..[local]..get hq running..cli_thread_getlastPrice-1111
